Group1	Group2	Z	P.unadj	P.adj	Significant	Direction
F_20_39	F_40_49	10.1120533798282	2.44247655700497e-24	1.13982239326899e-23	*	F_20_39 > F_40_49
F_20_39	F_50_59	12.9745089256571	8.53433884358799e-39	1.19480743810232e-37	*	F_20_39 > F_50_59
F_40_49	F_50_59	2.42345440882701	0.0076868414210299	0.00935789390386249	*	F_40_49 > F_50_59
F_20_39	F_60_79	8.88202002784873	3.28285055938693e-19	1.0213312851426e-18	*	F_20_39 > F_60_79
F_40_49	F_60_79	-3.12451281829028	0.000890498809269854	0.00118733174569314	*	F_60_79 > F_40_49
F_50_59	F_60_79	-7.02012471299536	1.10835147069269e-12	2.58615343161628e-12	*	F_60_79 > F_50_59
F_20_39	M_20_39	5.01499067095783	2.65180195034142e-07	4.36767380056235e-07	*	F_20_39 > M_20_39
F_40_49	M_20_39	-5.76002799827005	4.20499924392048e-09	8.40999848784097e-09	*	M_20_39 > F_40_49
F_50_59	M_20_39	-8.84784400462711	4.46131266233223e-19	1.24916754545303e-18	*	M_20_39 > F_50_59
F_60_79	M_20_39	-3.80080745595508	7.2112670952866e-05	0.000106271304562118	*	M_20_39 > F_60_79
F_20_39	M_40_49	11.9744043127289	2.41950327617623e-33	2.25820305776448e-32	*	F_20_39 > M_40_49
F_40_49	M_40_49	1.4560419389406	0.0726905131692936	0.0814133747496089	 	F_40_49 > M_40_49
F_50_59	M_40_49	-1.05339021063615	0.146081094474294	0.151491505380749	 	M_40_49 > F_50_59
F_60_79	M_40_49	5.48627446849717	2.05249462854729e-08	3.83132330662161e-08	*	F_60_79 > M_40_49
M_20_39	M_40_49	7.71440671384821	6.07731488718594e-15	1.5469528803746e-14	*	M_20_39 > M_40_49
F_20_39	M_50_59	9.91765834848851	1.74422054411574e-23	6.97688217646295e-23	*	F_20_39 > M_50_59
F_40_49	M_50_59	-2.53892618657153	0.00555966401136886	0.00707593601446946	*	M_50_59 > F_40_49
F_50_59	M_50_59	-6.89184975261566	2.75357619517089e-12	5.93077949729115e-12	*	M_50_59 > F_50_59
F_60_79	M_50_59	1.17952379410954	0.119094833852444	0.128255974918017	 	F_60_79 > M_50_59
M_20_39	M_50_59	4.85608525627789	5.98645840112076e-07	9.31226862396562e-07	*	M_20_39 > M_50_59
M_40_49	M_50_59	-5.11997911213606	1.52784749943691e-07	2.6737331240146e-07	*	M_50_59 > M_40_49
F_20_39	M_60_79	14.2365455505696	2.71739682261917e-46	7.60871110333369e-45	*	F_20_39 > M_60_79
F_40_49	M_60_79	3.19307785340457	0.000703824946997231	0.000985354925796124	*	F_40_49 > M_60_79
F_50_59	M_60_79	0.609096150219478	0.271230354601509	0.271230354601509	 	F_50_59 > M_60_79
F_60_79	M_60_79	9.38873047868891	3.03638867914863e-21	1.06273603770202e-20	*	F_60_79 > M_60_79
M_20_39	M_60_79	10.2524688936508	5.76793306099237e-25	4.03755314269466e-24	*	M_20_39 > M_60_79
M_40_49	M_60_79	1.80857674642274	0.0352583918945376	0.0411347905436272	*	M_40_49 > M_60_79
M_50_59	M_60_79	10.2008591989042	9.82630725380381e-25	5.50273206213013e-24	*	M_50_59 > M_60_79
